Date1,Date2,month,Value,Ind_name,units,activity,partner,location,Pcode,state,District,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TOWNSHIP_N,VillageTra,VillageWar,Longitude,Latitude
2/26/2013,2/26/2013,02/2013,0,Hygiene Kits Distributed,Kits,NFI Distribution,Muslim Aid,Ohn Taw Gyi (South),MMR012CMP116,Rakhine,Sittwe,148,MMR,Myanmar,1862,Rakhine,22165,Buthidaung,39279,Sittwe (Akyab),Sittwe,Khaung Doke Kar,Baw Du Hpa,92.802296,20.185092
2/26/2013,2/26/2013,02/2013,0,Hygiene Kits Distributed,Kits,NFI Distribution,UNHCR,Bomu Ywa,MMR012CMP084,Rakhine,Maungdaw,148,MMR,Myanmar,1862,Rakhine,22167,Maungtaw,39284,Maungdaw,Maungdaw,Myo Ma (North) Ward,0,92.365794,20.819958
2/26/2013,2/26/2013,02/2013,0,Hygiene Kits Distributed,Kits,NFI Distribution,Muslim Aid,Set Yone Su,MMR012CMP056,Rakhine,Sittwe,148,MMR,Myanmar,1862,Rakhine,22165,Buthidaung,39279,Sittwe (Akyab),Sittwe,Set Yon Su Ward,0,92.88032,20.148584
3/13/2013,3/13/2013,03/2013,0,Hygiene Kits Distributed,Kits,NFI Distribution,UNHCR,Ah Nauk Pyin,MMR012CMP032,Rakhine,Sittwe,148,MMR,Myanmar,1862,Rakhine,22165,Buthidaung,39278,Ponnagyun & Rathedaung,Rathedaung,Ah Nauk Pyin,Ah Nauk Pyin,92.781294,20.399269
3/13/2013,3/13/2013,03/2013,0,Hygiene Kits Distributed,Kits,NFI Distribution,UNHCR,Bomu Ywa,MMR012CMP084,Rakhine,Maungdaw,148,MMR,Myanmar,1862,Rakhine,22167,Maungtaw,39284,Maungdaw,Maungdaw,Myo Ma (North) Ward,0,92.365794,20.819958
1/2/2013,1/2/2013,01/2013,0,Hygiene Kits Distributed,Kits,NFI Distribution,UNHCR,Thaung Paing Nyar,MMR012CMP086,Rakhine,Maungdaw,148,MMR,Myanmar,1862,Rakhine,22167,Maungtaw,39284,Maungdaw,Maungdaw,Myo Thu Gyi,Ywar Haung,92.401294,20.824517
5/2/2013,5/2/2013,05/2013,0,Hygiene Kits Distributed,Kits,NFI Distribution,UNHCR,Myoma Myauk,MMR012CMP083,Rakhine,Maungdaw,148,MMR,Myanmar,1862,Rakhine,22167,Maungtaw,39284,Maungdaw,Maungdaw,Myo Ma (North) Ward,0,92.362933,20.827044
2/26/2013,2/26/2013,02/2013,0,Hygiene Kits Distributed,Kits,NFI Distribution,Muslim Aid,Ohn Taw Gyi (South),MMR012CMP116,Rakhine,Sittwe,148,MMR,Myanmar,1862,Rakhine,22165,Buthidaung,39279,Sittwe (Akyab),Sittwe,Khaung Doke Kar,Baw Du Hpa,92.802296,20.185092
1/2/2013,1/2/2013,01/2013,0,Hygiene Kits Distributed,Kits,NFI Distribution,UNHCR,Thaung Paing Nyar,MMR012CMP086,Rakhine,Maungdaw,148,MMR,Myanmar,1862,Rakhine,22167,Maungtaw,39284,Maungdaw,Maungdaw,Myo Thu Gyi,Ywar Haung,92.401294,20.824517
2/26/2013,2/26/2013,02/2013,0,Hygiene Kits Distributed,Kits,NFI Distribution,UNHCR,Bomu Ywa,MMR012CMP084,Rakhine,Maungdaw,148,MMR,Myanmar,1862,Rakhine,22167,Maungtaw,39284,Maungdaw,Maungdaw,Myo Ma (North) Ward,0,92.365794,20.819958
2/26/2013,2/26/2013,02/2013,0,Hygiene Kits Distributed,Kits,NFI Distribution,Muslim Aid,Set Yone Su,MMR012CMP056,Rakhine,Sittwe,148,MMR,Myanmar,1862,Rakhine,22165,Buthidaung,39279,Sittwe (Akyab),Sittwe,Set Yon Su Ward,0,92.88032,20.148584
2/14/2013,2/14/2013,02/2013,35,Hygiene Kits Distributed,Kits,NFI Distribution,UNICEF,Paik Thay,MMR012CMP001,Rakhine,Sittwe,148,MMR,Myanmar,1862,Rakhine,22168,Sittwe,39286,Minbya,Minbya,Kin Seik,Kin Seik,93.271642,20.377523
2/14/2013,2/14/2013,02/2013,90,Hygiene Kits Distributed,Kits,NFI Distribution,UNICEF,Aung Taing,MMR012CMP006,Rakhine,Sittwe,148,MMR,Myanmar,1862,Rakhine,22168,Sittwe,39287,Mrauk-Oo,Minbya,Sa Par Htar,Aung Taing,93.299485,20.480898
2/14/2013,2/14/2013,02/2013,20,Hygiene Kits Distributed,Kits,NFI Distribution,UNICEF,Paik Thay,MMR012CMP001,Rakhine,Sittwe,148,MMR,Myanmar,1862,Rakhine,22168,Sittwe,39286,Minbya,Minbya,Kin Seik,Kin Seik,93.271642,20.377523
2/14/2013,2/14/2013,02/2013,230,Hygiene Kits Distributed,Kits,NFI Distribution,UNICEF,Maw Ti Ngar,MMR012CMP092,Rakhine,Sittwe,148,MMR,Myanmar,1862,Rakhine,22165,Buthidaung,39279,Sittwe (Akyab),Sittwe,Bu May,Bu May,92.831,20.185917
2/14/2013,2/14/2013,02/2013,245,Hygiene Kits Distributed,Kits,NFI Distribution,UNICEF,Pa Rein,MMR012CMP009,Rakhine,Sittwe,148,MMR,Myanmar,1862,Rakhine,22168,Sittwe,39287,Mrauk-Oo,Mrauk_U,Pu Rein,Pu Rein,93.245551,20.576577
2/14/2013,2/14/2013,02/2013,205,Hygiene Kits Distributed,Kits,NFI Distribution,UNICEF,Tha Dar,MMR012CMP002,Rakhine,Sittwe,148,MMR,Myanmar,1862,Rakhine,22168,Sittwe,39286,Minbya,Minbya,Kin Seik,Thar Dar,93.257272,20.392138
2/14/2013,2/14/2013,02/2013,360,Hygiene Kits Distributed,Kits,NFI Distribution,UNICEF,Yai Thei-Muslim,MMR012CMP010,Rakhine,Sittwe,148,MMR,Myanmar,1862,Rakhine,22168,Sittwe,39287,Mrauk-Oo,Mrauk_U,Yin Thei,Yin Thei,93.21704,20.501758
2/21/2013,2/21/2013,02/2013,0,Hygiene Kits Distributed,Kits,NFI Distribution,UNHCR,Nyaung Pin Hla,MMR012CMP082,Rakhine,Maungdaw,148,MMR,Myanmar,1862,Rakhine,22167,Maungtaw,39284,Maungdaw,Maungdaw,Urban,0,92.362197,20.824778
2/21/2013,2/21/2013,02/2013,0,Hygiene Kits Distributed,Kits,NFI Distribution,UNHCR,Nyaung Pin Hla,MMR012CMP082,Rakhine,Maungdaw,148,MMR,Myanmar,1862,Rakhine,22167,Maungtaw,39284,Maungdaw,Maungdaw,Urban,0,92.362197,20.824778
